substrate,tf
CPR8,STE12
CPR8,SWI4
CPS1,GLN3
CRH1,ASH1
CRH1,MCM1
CRH1,MSN2
CRH1,RLM1
CRH1,SOK2
CRH1,SWI5
CRH1,TEC1
CRM1,STE12
CRM1,TEC1
CRR1,AFT1
CRR1,SUM1
CRZ1,PHO4
CRZ1,YRM1
CSG2,MCM1
CSG2,RAP1
CSH1,ABF1
CSH1,SKO1
CSI2,ASH1
CSI2,SWI4
CSI2,SWI6
CSI2,TEC1
CSL4,MCM1
CSM1,MSN2
CSN9,GCR2
CSN9,SFP1
CSN9,STE12
CSN9,YAP1
CSR1,ABF1
CSR1,AFT1
CSR1,REB1
CST6,STE12
CTF4,STE12
CTH1,SFP1
CTK2,MSN2
CTR1,MAC1
CTR1,MSN2
CTR2,MAC1
CTS1,ACE2
CTS1,FKH1
CTS1,MSN2
CTS1,RAP1
CTS1,STE12
CTS1,SWI5
CUE1,DAL82
CUE2,SOK2
CUE2,YAP1
CUE4,ACE2
CUE4,MBP1
CUE4,SKN7
CUR1,YAP1
CUR1,YRM1
CUS1,ADR1
CUS1,TEC1
CWC2,YOX1
CWH41,STE12
CWH43,TEC1
CWP1,MET32
CWP1,MET4
CWP1,MSN2
CWP1,PDR1
CWP1,RAP1
CWP1,RLM1
CWP1,SKO1
CWP1,SOK2
CWP1,SPT23
CWP1,STE12
CWP1,SWI4
CWP1,SWI6
CWP1,TEC1
CWP2,DAL82
CWP2,MBP1
CWP2,OAF1
CWP2,PDR1
CWP2,RLM1
CWP2,SKN7
CWP2,SOK2
CWP2,SWI4
CWP2,SWI6
CYB2,ADR1
CYB2,HAP1
CYB2,STE12
CYB2,YRM1
CYB5,HAP1
CYC1,ABF1
CYC1,HAP1
CYC1,HAP2
CYC1,HAP3
CYC1,HAP5
CYC1,HSF1
CYC1,MOT3
CYC1,RAP1
CYC1,STE12
CYC1,YAP1
CYC3,MCM1
CYC3,MSN2
CYC3,STE12
CYC3,TUP1
CYC7,CIN5
CYC7,HAP1
CYC7,ROX1
CYK3,SWI5
CYM1,MSN2
CYR1,MSN2
CYS3,MET28
CYS3,MET31
CYS3,MET32
CYS3,MET4
CYS3,YAP1
CYS4,CBF1
CYS4,MET32
CYS4,MSN2
CYS4,YAP1
CYT1,CBF1
CYT1,HAP1
CYT1,HAP2
CYT1,HAP3
CYT1,HAP5
CYT1,STE12
CYT2,YAP1
DAK1,SKO1
DAL2,DAL81
DAL2,GLN3
DAL2,STE12
DAL4,DAL81
DAL4,GLN3
DAL4,STE12
DAL4,TEC1
DAL7,DAL81
DAL7,DAL82
DAL7,GLN3
DAL7,HSF1
DAL7,LEU3
DAL7,RAP1
DAL7,TEC1
DAL81,ABF1
DAP1,CIN5
DAP1,RAP1
DAP1,TEC1
DAP1,YAP1
DAP2,RPN4
DAS1,MAC1
DAS2,BAS1
DBF2,YOX1
DBF20,GCN4
DBF20,STE12
DBP2,AFT1
DBP2,PUT3
DBP7,STE12
DBP8,ASH1
DBP8,YAP1
DBP9,ABF1
DBP9,SWI5
DCG1,GLN3
DCS1,SPT23
DCS2,PDR1
DCS2,SOK2
DCS2,YAP1
DCW1,ABF1
DDI1,ASH1
DDI1,RPN4
DDR2,CIN5
DDR2,MET4
DDR2,MSN2
DDR2,RAP1
DDR2,SKN7
DDR2,SOK2
DDR2,STE12
DDR2,YAP1
DDR48,MSN2
DDR48,RIM101
DDR48,SKN7
DDR48,SOK2
DDR48,STE12
DDR48,SWI5
DDR48,TEC1
DDR48,YAP1
DED81,GCN4
DEF1,RPN4
DFG10,ABF1
DFM1,ABF1
DFM1,PHO4
DFR1,ABF1
DHR2,ABF1
DIA1,ABF1
DIA1,MSN2
DIA1,YAP1
DIC1,ADR1
DIF1,FKH2
DIF1,RAP1
DIF1,STE12
DIG1,PHD1
DIG1,SOK2
DIG1,STE12
DIN7,MBP1
DIN7,SWI6
DIP5,ADR1
DIP5,ASH1
DIP5,GLN3
DIP5,MSN2
DIP5,PDR1
DIP5,ROX1
DIP5,SOK2
DIP5,STP1
