tf,relation,substrate
FLO8,regulates,KNH1
STE12,regulates,KNH1
SKN7,regulates,KNH1
SOK2,regulates,KNH1
MSN2,regulates,KNH1
MET4,regulates,KNH1
TEC1,regulates,STP4
SWI4,regulates,STP4
YAP1,regulates,STP4
SOK2,regulates,STP4
MSN2,regulates,STP4
FLO8,regulates,4.0
RAP1,regulates,4.0
AFT1,regulates,MRP10
ASH1,regulates,PRM7
SOK2,regulates,PRM7
DAL82,regulates,PRM7
DAL82,regulates,YDL038C
TUP1,regulates,BSC1
1.0,regulates,BSC1
SOK2,regulates,BSC1
SKO1,regulates,BSC1
AZF1,regulates,BSC1
RLM1,regulates,BSC1
RAP1,regulates,SLM3
RAP1,regulates,YDL032W
YRM1,regulates,MPS1
YRM1,regulates,YDL027C
GCN4,regulates,RTK1
SPT23,regulates,RTK1
YAP1,regulates,RTK1
MSN2,regulates,RTK1
STE12,regulates,DIA3
MSN2,regulates,DIA3
STE12,regulates,YDL023C
CBF1,regulates,YDL023C
RAP1,regulates,YDL023C
PHO4,regulates,GPD1
MSN2,regulates,GPD1
HOT1,regulates,GPD1
SKO1,regulates,GPD1
RAP1,regulates,GPD1
MSN1,regulates,GPD1
GCN4,regulates,GPM2
SOK2,regulates,GPM2
RAP1,regulates,GPM2
CIN5,regulates,GPM2
PDR3,regulates,RPN4
PDR1,regulates,RPN4
HSF1,regulates,RPN4
MSN4,regulates,RPN4
MSN2,regulates,RPN4
ABF1,regulates,CDC7
ABF1,regulates,YDL012C
MSN2,regulates,GRX6
REB1,regulates,RPT2
ABF1,regulates,MED2
MBP1,regulates,ATP16
PHO4,regulates,ATP16
HAP4,regulates,ATP16
CIN5,regulates,ATP16
MBP1,regulates,MCD1
SWI4,regulates,MCD1
GCR2,regulates,RMD1
CBF1,regulates,NTH1
SOK2,regulates,NTH1
YAP1,regulates,RCR2
YRM1,regulates,SOK1
PHO4,regulates,TRP1
STE12,regulates,GAL3
CIN5,regulates,GAL3
GAL4,regulates,GAL3
ACE2,regulates,YDR010C
YAP1,regulates,YDR010C
MSN2,regulates,YDR010C
PDR3,regulates,SNQ2
CAD1,regulates,SNQ2
GCN4,regulates,SNQ2
PDR1,regulates,SNQ2
STE12,regulates,SNQ2
MSN4,regulates,SNQ2
ACE2,regulates,SNQ2
YAP1,regulates,SNQ2
YOX1,regulates,SNQ2
MSN2,regulates,SNQ2
SFP1,regulates,RPL4b
RAP1,regulates,RPL4b
PDR1,regulates,PSF1
YAP1,regulates,PSF1
BAS1,regulates,YDR018C
BAS1,regulates,GCV1
BAS1,regulates,DAS2
RAP1,regulates,FAL1
STE12,regulates,ATG31
PHO2,regulates,SES1
CBF1,regulates,SES1
SFP1,regulates,RPS11a
RPN4,regulates,REG1
REB1,regulates,YDR029W
ABF1,regulates,YDR029W
YAP1,regulates,PST2
RAP1,regulates,PST2
STE12,regulates,MRH1
MSN2,regulates,MRH1
MCM1,regulates,MRH1
RAP1,regulates,MRH1
TEC1,regulates,LYS14
GCN4,regulates,LYS14
STE12,regulates,LYS14
GCR2,regulates,LYS14
STE12,regulates,YDR034C_A
ABF1,regulates,YDR034C_A
MSN2,regulates,YDR034C_A
CAD1,regulates,YDR034W_B
GCN4,regulates,YDR034W_B
MSN2,regulates,YDR034W_B
UME6,regulates,ARO3
GCN4,regulates,ARO3
ABF1,regulates,ARO3
STE12,regulates,EHD3
STE12,regulates,KRS1
YRM1,regulates,ENA5
CST6,regulates,ENA2
SFP1,regulates,ENA2
TEC1,regulates,ENA1
NRG1,regulates,ENA1
GLN3,regulates,ENA1
GAT1,regulates,ENA1
1.0,regulates,ENA1
STE12,regulates,ENA1
YAP1,regulates,ENA1
MSN2,regulates,ENA1
CRZ1,regulates,ENA1
SKO1,regulates,ENA1
TEC1,regulates,RSM10
TUP1,regulates,RSM10
HAP2,regulates,RSM10
1.0,regulates,RSM10
SUM1,regulates,YDR042C
STE12,regulates,YDR042C
YAP1,regulates,YDR042C
MSN2,regulates,YDR042C
RAP1,regulates,YDR042C
CIN5,regulates,YDR042C
TEC1,regulates,NRG1
TUP1,regulates,NRG1
STE12,regulates,NRG1
SKN7,regulates,NRG1
CBF1,regulates,NRG1
SOK2,regulates,NRG1
MSN2,regulates,NRG1
SKO1,regulates,NRG1
CIN5,regulates,NRG1
STE12,regulates,HEM13
MOT3,regulates,HEM13
RAP1,regulates,HEM13
ROX1,regulates,HEM13
STP1,regulates,BAP3
ABF1,regulates,BAP3
MSN2,regulates,BAP3
RAP1,regulates,BAP3
STP1,regulates,HEM12
MSN2,regulates,HEM12
STE12,regulates,VMS1
RAP1,regulates,TPI1
GCR1,regulates,TPI1
STE12,regulates,CDC34
ASH1,regulates,CDC34
MSN2,regulates,CDC34
PDR3,regulates,PST1
SWI5,regulates,PST1
UME6,regulates,PST1
FLO8,regulates,PST1
STE12,regulates,PST1
CBF1,regulates,PST1
ASH1,regulates,PST1
ACE2,regulates,PST1
YAP1,regulates,PST1
MET4,regulates,PST1
FHL1,regulates,TGL2
YHP1,regulates,MAK21
RAP1,regulates,LCB2
ZAP1,regulates,AIM7
CIN5,regulates,AIM7
9.0,regulates,AIM7
IFH1,regulates,RPS13
SFP1,regulates,RPS13
YAP1,regulates,RPS13
RAP1,regulates,RPS13
GCR1,regulates,RPS13
STE12,regulates,RRG1
CST6,regulates,OCA6
DAL82,regulates,DOS2
MSN2,regulates,DOA4
ABF1,regulates,FMP16
OAF1,regulates,IPT1
PDR3,regulates,IPT1
TUP1,regulates,IPT1
PDR1,regulates,IPT1
CBF1,regulates,IPT1
ABF1,regulates,IPT1
SOK2,regulates,IPT1
PIP2,regulates,IPT1
STE12,regulates,SNF11
SOK2,regulates,SNF11
PDR3,regulates,TPS2
MSN4,regulates,TPS2
SOK2,regulates,TPS2
ARO80,regulates,PPH3
ABF1,regulates,PPH3
YRM1,regulates,PPH3
GCN4,regulates,RAD55
PDR1,regulates,RAD55
RTG3,regulates,SED1
TEC1,regulates,SED1
NRG1,regulates,SED1
ADR1,regulates,SED1
SWI4,regulates,SED1
STE12,regulates,SED1
SKN7,regulates,SED1
ZAP1,regulates,SED1
YAP1,regulates,SED1
YOX1,regulates,SED1
SOK2,regulates,SED1
MSN2,regulates,SED1
MOT3,regulates,SED1
SKO1,regulates,SED1
RAP1,regulates,SED1
CIN5,regulates,SED1
RLM1,regulates,SED1
RDS2,regulates,SED1
9.0,regulates,SED1
GCN4,regulates,TVP23
NDT80,regulates,TVP23
ARG81,regulates,TVP23
STE12,regulates,AFR1
MSN4,regulates,AFR1
RLM1,regulates,AFR1
IXR1,regulates,SSS1
STE12,regulates,SLU7
YAP1,regulates,YDR089W
MSN2,regulates,YDR089W
GLN3,regulates,YDR090C
RAP1,regulates,YDR094W
YRM1,regulates,YDR094W
RAP1,regulates,YDR095C
MSN2,regulates,GIS1
RDS2,regulates,GIS1
SOK2,regulates,GRX3
RAP1,regulates,BMH2
REB1,regulates,TVP15
MSN4,regulates,YDR102C
MSN2,regulates,YDR102C
YRM1,regulates,YDR102C
STP2,regulates,STE5
MSN4,regulates,STE5
MSN2,regulates,STE5
STE12,regulates,10.0
SWI5,regulates,FOB1
ADR1,regulates,ALT2
MSN2,regulates,ALT2
CBF1,regulates,YDR115W
SPT23,regulates,KIN1
SOK2,regulates,KIN1
INO4,regulates,INO2
STE12,regulates,YDR124W
RPN4,regulates,ARO1
GCN4,regulates,ARO1
HSF1,regulates,ARO1
MSN2,regulates,ARO1
ABF1,regulates,FIN1
TEC1,regulates,YDR132C
STE12,regulates,YDR132C
YAP1,regulates,YDR132C
MSN2,regulates,YDR132C
RIM101,regulates,YDR133C
RAP1,regulates,YDR133C
TUP1,regulates,YDR134C
SWI4,regulates,YDR134C
PDR1,regulates,YDR134C
SOK2,regulates,YDR134C
YAP1,regulates,YCF1
RAP1,regulates,YCF1
YAP1,regulates,VPS61
MSN4,regulates,MKC7
SWI6,regulates,MKC7
PHO2,regulates,TAF12
STE12,regulates,TAF12
STE12,regulates,SWI5
FKH1,regulates,SWI5
SFP1,regulates,SWI5
MCM1,regulates,SWI5
FKH2,regulates,SWI5
RAP1,regulates,SWI5
INO2,regulates,EKI1
INO4,regulates,EKI1
HAP4,regulates,KGD2
CBF1,regulates,YDR149C
SFP1,regulates,CTH1
SFP1,regulates,GIR2
RPH1,regulates,YDR154C
HSF1,regulates,YDR154C
HSF1,regulates,CPR1
SKN7,regulates,CPR1
ABF1,regulates,CPR1
MSN2,regulates,CPR1
RAP1,regulates,CPR1
ROX1,regulates,CPR1
ABF1,regulates,RPA14
ACE2,regulates,RPA14
MSN2,regulates,RPA14
ABF1,regulates,YDR157W
REB1,regulates,HOM2
HSF1,regulates,HOM2
STB5,regulates,HOM2
ACE2,regulates,HOM2
TYE7,regulates,SSY1
YAP5,regulates,CDC37
TEC1,regulates,STB3
INO2,regulates,STB3
RTG3,regulates,HSP42
TEC1,regulates,HSP42
HSF1,regulates,HSP42
MSN2,regulates,HSP42
ABF1,regulates,SUP35
SIP4,regulates,HMO1
ABF1,regulates,HMO1
THI2,regulates,CSN9
STE12,regulates,CSN9
SFP1,regulates,CSN9
